klas_Id-Length_w	klas_Id-Length_i	klas_STW_w	klas_STW_i	klas_*VVC_w	klas_*VVC_i	en_Id-Length_w	en_Id-Length_i	en_STW_w	en_STW_i	en_*VVC_w	en_*VVC_i	kip_Id-Length_w	kip_Id-Length_i	kip_STW_w	kip_STW_i	kip_*VVC_w	kip_*VVC_i	baas_Id-Length_w	baas_Id-Length_i	baas_STW_w	baas_STW_i	baas_*VVC_w	baas_*VVC_i	poot_Id-Length_w	poot_Id-Length_i	poot_STW_w	poot_STW_i	poot_*VVC_w	poot_*VVC_i	glas_Id-Length_w	glas_Id-Length_i	glas_STW_w	glas_STW_i	glas_*VVC_w	glas_*VVC_i	slot_Id-Length_w	slot_Id-Length_i	slot_STW_w	slot_STW_i	slot_*VVC_w	slot_*VVC_i
1.9299999999999997	5	0	0	0	0	0	0	1.94	7	0	0	2.319999999999993	2	0	0	2.519999999999989	1	2.229999999999995	4	0	0	0	0	0	0	1.99	4	0	0	0	0	2.289999999999994	2	2.519999999999989	1	1.5199999999999996	1	2.289999999999994	2	2.519999999999989	1
1.9799999999999998	5	0	0	0	0	0	0	1.91	1	0	0	2.3399999999999928	2	0	0	2.519999999999989	1	2.229999999999995	4	0	0	0	0	0	0	2.0	4	0	0	0	0	2.319999999999993	2	2.519999999999989	1	1.4899999999999995	1	2.319999999999993	2	2.519999999999989	1
1.9999999999999998	5	0	0	0	0	0	0	1.92	1	0	0	2.3399999999999928	2	0	0	2.519999999999989	1	2.229999999999995	4	0	0	0	0	0	0	2.0	4	0	0	0	0	2.3399999999999928	2	2.519999999999989	1	1.4599999999999995	1	2.0	8	2.519999999999989	1
2.01	5	0	0	0	0	0	0	1.95	7	0	0	2.3399999999999928	2	0	0	2.519999999999989	1	2.239999999999995	4	0	0	0	0	0	0	2.0	4	0	0	0	0	2.0	9	2.519999999999989	1	1.4399999999999995	1	2.0199999999999996	8	2.519999999999989	1
2.0199999999999996	5	0	0	0	0	0	0	1.95	7	0	0	2.3499999999999925	2	0	0	2.5399999999999885	1	2.239999999999995	4	0	0	0	0	0	0	2.0	4	0	0	0	0	1.9999999999999998	9	2.5399999999999885	1	1.4399999999999995	1	2.0199999999999996	6	2.5399999999999885	1
2.0299999999999994	5	0	0	0	0	0	0	1.92	7	0	0	2.379999999999992	2	0	0	2.5499999999999883	1	2.239999999999995	4	0	0	0	0	0	0	2.0	4	0	0	0	0	1.9899999999999998	9	2.5499999999999883	1	1.4299999999999995	1	2.0299999999999994	6	2.5499999999999883	1
2.039999999999999	5	0	0	0	0	0	0	1.89	7	0	0	2.4099999999999913	2	0	0	2.5499999999999883	1	2.2499999999999947	4	0	0	0	0	0	0	2.01	4	0	0	0	0	1.9899999999999998	9	2.5499999999999883	1	1.4199999999999995	1	2.039999999999999	6	2.5499999999999883	1
2.319999999999993	3	0	0	0	0	0	0	1.8499999999999999	7	0	0	2.429999999999991	2	0	0	2.5499999999999883	1	2.2599999999999945	4	0	0	0	0	0	0	2.01	4	0	0	0	0	1.9899999999999998	9	2.5499999999999883	1	1.4099999999999995	1	2.049999999999999	6	2.5499999999999883	1
2.3399999999999928	3	0	0	0	0	0	0	1.94	1	0	0	2.429999999999991	2	0	0	2.559999999999988	1	2.2599999999999945	4	0	0	0	0	0	0	2.01	4	0	0	0	0	1.9799999999999998	9	2.559999999999988	1	1.3899999999999995	1	2.089999999999998	3	2.559999999999988	1
2.3399999999999928	3	0	0	0	0	1.2999999999999994	1	2.0599999999999987	6	0	0	2.01	6	0	0	2.5799999999999876	1	2.2599999999999945	4	0	0	0	0	0	0	2.01	4	0	0	0	0	2.0199999999999996	9	2.5799999999999876	1	1.2999999999999994	1	2.3499999999999925	2	2.5799999999999876	1
2.3399999999999928	3	0	0	0	0	0	0	2.1199999999999974	6	0	0	2.01	6	0	0	2.609999999999987	1	2.2599999999999945	4	0	0	0	0	0	0	2.0199999999999996	4	0	0	0	0	2.01	9	2.609999999999987	1	1.2399999999999993	1	2.3899999999999917	2	2.609999999999987	1
2.369999999999992	3	0	0	0	0	0	0	2.1299999999999972	5	0	0	2.01	6	0	0	2.609999999999987	1	2.2599999999999945	4	0	0	0	0	0	0	2.039999999999999	4	0	0	0	0	2.039999999999999	4	2.609999999999987	1	1.2299999999999993	1	2.3999999999999915	2	2.609999999999987	1
2.3999999999999915	3	0	0	0	0	0	0	2.099999999999998	5	0	0	2.0599999999999987	5	0	0	2.6399999999999864	1	2.2599999999999945	4	0	0	0	0	0	0	2.0199999999999996	4	0	0	0	0	2.0199999999999996	4	2.6399999999999864	1	1.2199999999999993	1	2.4099999999999913	2	2.6399999999999864	1
2.429999999999991	3	0	0	0	0	0	0	1.9999999999999998	4	0	0	2.0799999999999983	5	0	0	2.649999999999986	1	2.2699999999999942	4	0	0	0	0	0	0	1.9999999999999998	4	0	0	0	0	1.9999999999999998	4	2.649999999999986	1	1.2199999999999993	1	2.4099999999999913	2	2.649999999999986	1
2.4399999999999906	3	0	0	0	0	0	0	1.96	1	0	0	2.1099999999999977	5	0	0	2.649999999999986	1	2.4399999999999906	2	0	0	0	0	0	0	1.9899999999999998	4	0	0	0	0	2.01	9	2.649999999999986	1	1.2099999999999993	1	2.419999999999991	2	2.649999999999986	1
2.4499999999999904	3	0	0	0	0	0	0	1.97	1	0	0	2.1299999999999972	5	0	0	2.649999999999986	1	2.4399999999999906	2	0	0	0	0	0	0	2.0299999999999994	9	0	0	0	0	2.0299999999999994	9	2.649999999999986	1	1.1799999999999993	1	2.4499999999999904	2	2.649999999999986	1
2.01	7	0	0	0	0	0	0	2.049999999999999	8	0	0	2.1299999999999972	5	0	0	2.659999999999986	1	2.4399999999999906	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.149999999999997	6	2.659999999999986	1	1.1399999999999992	1	2.45999999999999	2	2.659999999999986	1
