agree-back-local	agree-front-rounded-nonlocal	agree-front-rounded-local	agree-back-nonlocal	agree-front-local	agree-nonhigh-front-local	agree-low-front-local	agree-double-front-local	use-front-bilabial	use-front-coronal-sonorant	use-front-sibilant	use-front-cc	use-back-monosyll-i
3.669999999999966	3.7399999999999642	1.7400000000000013	4.149999999999956	0.03	1.520000000000001	4.009999999999959	0.9600000000000006	1.2000000000000008	0.01	1.260000000000001	1.720000000000001	0.049999999999999975
3.7099999999999653	3.7799999999999634	1.7600000000000013	3.9299999999999606	0.09999999999999999	1.4300000000000008	4.2199999999999545	0.9800000000000006	1.2000000000000008	0.01	1.340000000000001	1.7800000000000011	0.05999999999999998
3.7999999999999634	3.8199999999999625	1.7600000000000013	4.099999999999957	0	1.3600000000000008	4.179999999999955	1.1700000000000008	1.2000000000000008	0	1.280000000000001	1.8300000000000012	0.01
3.8899999999999615	3.839999999999962	1.7600000000000013	4.129999999999956	0.019999999999999997	1.4400000000000008	4.139999999999956	1.0400000000000007	1.2300000000000009	0.01	1.440000000000001	1.8400000000000012	0.09
3.859999999999962	3.8799999999999613	1.7600000000000013	3.999999999999959	0.01	1.3400000000000007	4.199999999999955	0.7800000000000005	1.1700000000000008	0	1.430000000000001	1.7900000000000011	0.16
3.859999999999962	3.899999999999961	1.7600000000000013	3.9399999999999604	0.09	1.4400000000000008	4.229999999999954	0.7400000000000004	1.2100000000000009	0	1.460000000000001	1.9000000000000012	0.19000000000000003
3.95999999999996	3.9499999999999598	1.7800000000000014	3.96999999999996	0.04	1.3400000000000007	4.249999999999954	0.8700000000000006	1.2300000000000009	0	1.380000000000001	1.8700000000000012	0.26000000000000006
3.95999999999996	3.979999999999959	1.7800000000000014	3.8999999999999613	0.02	1.2100000000000006	4.289999999999953	1.0500000000000007	1.350000000000001	0	1.290000000000001	1.7700000000000011	0.23000000000000004
3.909999999999961	3.9999999999999587	1.7800000000000014	3.8399999999999626	0.019999999999999997	1.1400000000000006	4.259999999999954	1.1000000000000008	1.2500000000000009	0.01	1.430000000000001	1.740000000000001	0.2700000000000001
3.7899999999999636	4.059999999999958	1.8000000000000014	3.7899999999999636	0.009999999999999997	0.9100000000000004	4.209999999999955	1.1700000000000008	1.310000000000001	0.01	1.270000000000001	1.670000000000001	0.2900000000000001
3.869999999999962	4.089999999999957	1.8000000000000014	3.859999999999962	0.060000000000000005	1.1500000000000006	4.269999999999953	1.0500000000000007	1.300000000000001	0.02	1.2500000000000009	1.570000000000001	0.38000000000000017
3.8399999999999626	4.149999999999956	1.8100000000000014	3.859999999999962	0	1.2900000000000007	4.249999999999954	0.9000000000000006	1.360000000000001	0	1.290000000000001	1.590000000000001	0.4000000000000002
3.8499999999999623	4.179999999999955	1.8200000000000014	3.95999999999996	0.11999999999999998	1.1700000000000006	4.239999999999954	0.9700000000000006	1.270000000000001	0.060000000000000005	1.490000000000001	1.620000000000001	0.38000000000000017
3.8499999999999623	4.2199999999999545	1.8400000000000014	4.039999999999958	0	1.0800000000000005	4.2199999999999545	0.9800000000000006	1.280000000000001	0	1.430000000000001	1.560000000000001	0.3900000000000002
3.96999999999996	4.209999999999955	1.8300000000000014	4.139999999999956	0.19000000000000003	1.0800000000000005	4.329999999999952	1.1000000000000008	1.310000000000001	0.02	1.400000000000001	1.510000000000001	0.37000000000000016
3.7899999999999636	4.209999999999955	1.8300000000000014	3.9299999999999606	0.019999999999999997	1.0200000000000005	4.329999999999952	0.7400000000000004	1.330000000000001	0.02	1.440000000000001	1.550000000000001	0.37000000000000016
3.8499999999999623	4.2199999999999545	1.8400000000000014	4.039999999999958	0	0.9900000000000004	4.349999999999952	0.9800000000000006	1.330000000000001	0	1.500000000000001	1.600000000000001	0.4100000000000002
3.7399999999999647	4.229999999999954	1.8300000000000014	3.96999999999996	0	0.7900000000000003	4.269999999999953	0.9600000000000006	1.390000000000001	0	1.450000000000001	1.570000000000001	0.38000000000000017
3.8299999999999628	4.289999999999953	1.8600000000000014	4.059999999999958	0.019999999999999997	0.9700000000000004	4.40999999999995	0.8200000000000005	1.400000000000001	0.01	1.440000000000001	1.5000000000000009	0.34000000000000014
3.909999999999961	4.329999999999952	1.8600000000000014	4.149999999999956	0.02	0.8900000000000003	4.399999999999951	1.0100000000000007	1.370000000000001	0	1.340000000000001	1.4900000000000009	0.34000000000000014
3.909999999999961	4.3599999999999515	1.8700000000000014	3.9899999999999594	0	0.7900000000000003	4.379999999999951	1.2100000000000009	1.340000000000001	0	1.290000000000001	1.3900000000000008	0.37000000000000016
